#1:snapshot #2:rc #3:rh #4:rc/rh [all units parsec]
n2e5_w5_r2_Rg8_z0.001.out.snap0000.dat.gz 74.45 0.96 77.73
n2e5_w5_r2_Rg8_z0.001.out.snap0001.dat.gz 1.13 1.3 0.87
n2e5_w5_r2_Rg8_z0.001.out.snap0002.dat.gz 0.69 1.37 0.5
n2e5_w5_r2_Rg8_z0.001.out.snap0003.dat.gz 0.62 1.56 0.4
n2e5_w5_r2_Rg8_z0.001.out.snap0004.dat.gz 0.8 1.56 0.51
n2e5_w5_r2_Rg8_z0.001.out.snap0005.dat.gz 1.06 1.57 0.67
n2e5_w5_r2_Rg8_z0.001.out.snap0006.dat.gz 0.78 1.69 0.46
n2e5_w5_r2_Rg8_z0.001.out.snap0007.dat.gz 0.86 1.6 0.54
n2e5_w5_r2_Rg8_z0.001.out.snap0008.dat.gz 0.72 1.62 0.45
n2e5_w5_r2_Rg8_z0.001.out.snap0009.dat.gz 0.9 1.89 0.48
n2e5_w5_r2_Rg8_z0.001.out.snap0010.dat.gz 1.18 1.86 0.64
n2e5_w5_r2_Rg8_z0.001.out.snap0011.dat.gz 0.73 1.89 0.39
n2e5_w5_r2_Rg8_z0.001.out.snap0012.dat.gz 0.79 1.98 0.4
n2e5_w5_r2_Rg8_z0.001.out.snap0013.dat.gz 1.01 1.92 0.53
n2e5_w5_r2_Rg8_z0.001.out.snap0014.dat.gz 0.79 2.08 0.38
n2e5_w5_r2_Rg8_z0.001.out.snap0015.dat.gz 1.07 2.11 0.51
n2e5_w5_r2_Rg8_z0.001.out.snap0016.dat.gz 1.27 2.22 0.57
n2e5_w5_r2_Rg8_z0.001.out.snap0017.dat.gz 1.02 2.17 0.47
n2e5_w5_r2_Rg8_z0.001.out.snap0018.dat.gz 1.33 2.22 0.6
n2e5_w5_r2_Rg8_z0.001.out.snap0019.dat.gz 1.23 2.28 0.54
n2e5_w5_r2_Rg8_z0.001.out.snap0020.dat.gz 1.5 2.28 0.66
n2e5_w5_r2_Rg8_z0.001.out.snap0021.dat.gz 1.37 2.23 0.61
n2e5_w5_r2_Rg8_z0.001.out.snap0022.dat.gz 1.31 2.38 0.55
n2e5_w5_r2_Rg8_z0.001.out.snap0023.dat.gz 1.68 2.32 0.73
n2e5_w5_r2_Rg8_z0.001.out.snap0024.dat.gz 1.36 2.4 0.57
n2e5_w5_r2_Rg8_z0.001.out.snap0025.dat.gz 1.34 2.38 0.56
n2e5_w5_r2_Rg8_z0.001.out.snap0026.dat.gz 1.48 2.38 0.62
n2e5_w5_r2_Rg8_z0.001.out.snap0027.dat.gz 1.31 2.42 0.54
n2e5_w5_r2_Rg8_z0.001.out.snap0028.dat.gz 1.22 2.44 0.5
n2e5_w5_r2_Rg8_z0.001.out.snap0029.dat.gz 1.2 2.5 0.48
n2e5_w5_r2_Rg8_z0.001.out.snap0030.dat.gz 1.75 2.61 0.67
n2e5_w5_r2_Rg8_z0.001.out.snap0031.dat.gz 0.84 2.28 0.37
n2e5_w5_r2_Rg8_z0.001.out.snap0032.dat.gz 1.6 2.69 0.6
n2e5_w5_r2_Rg8_z0.001.out.snap0033.dat.gz 1.56 2.69 0.58
n2e5_w5_r2_Rg8_z0.001.out.snap0034.dat.gz 1.61 2.71 0.59
n2e5_w5_r2_Rg8_z0.001.out.snap0035.dat.gz 1.76 2.75 0.64
n2e5_w5_r2_Rg8_z0.001.out.snap0036.dat.gz 1.77 2.83 0.62
