#snapno time[Myr] time[FP] #1:snapshot #2:rc #3:rh #4:rc/rh
0000 0.0 0.0 n2e5_w5_r2_Rg8_z0.001.out.snap0000.dat.gz 74.45 0.96 77.73
0001 100.930027759 0.033528229 n2e5_w5_r2_Rg8_z0.001.out.snap0001.dat.gz 1.13 1.3 0.87
0002 107.832230237 0.035821091 n2e5_w5_r2_Rg8_z0.001.out.snap0002.dat.gz 0.69 1.37 0.5
0003 120.554113253 0.040047209 n2e5_w5_r2_Rg8_z0.001.out.snap0003.dat.gz 0.62 1.56 0.4
0004 131.798486843 0.043782509 n2e5_w5_r2_Rg8_z0.001.out.snap0004.dat.gz 0.8 1.56 0.51
0005 138.701619504 0.04607568 n2e5_w5_r2_Rg8_z0.001.out.snap0005.dat.gz 1.06 1.57 0.67
0006 153.585638453 0.051020044 n2e5_w5_r2_Rg8_z0.001.out.snap0006.dat.gz 0.78 1.69 0.46
0007 168.715632026 0.056046119 n2e5_w5_r2_Rg8_z0.001.out.snap0007.dat.gz 0.86 1.6 0.54
0008 177.464478957 0.058952423 n2e5_w5_r2_Rg8_z0.001.out.snap0008.dat.gz 0.72 1.62 0.45
0009 199.108171711 0.066142302 n2e5_w5_r2_Rg8_z0.001.out.snap0009.dat.gz 0.9 1.89 0.48
0010 216.300922183 0.07185361 n2e5_w5_r2_Rg8_z0.001.out.snap0010.dat.gz 1.18 1.86 0.64
0011 223.791243962 0.074341841 n2e5_w5_r2_Rg8_z0.001.out.snap0011.dat.gz 0.73 1.89 0.39
0012 234.485268486 0.077894319 n2e5_w5_r2_Rg8_z0.001.out.snap0012.dat.gz 0.79 1.98 0.4
0013 243.016693489 0.080728397 n2e5_w5_r2_Rg8_z0.001.out.snap0013.dat.gz 1.01 1.92 0.53
0014 254.509744952 0.084546306 n2e5_w5_r2_Rg8_z0.001.out.snap0014.dat.gz 0.79 2.08 0.38
0015 264.494621063 0.08786321 n2e5_w5_r2_Rg8_z0.001.out.snap0015.dat.gz 1.07 2.11 0.51
0016 303.065414345 0.10067615 n2e5_w5_r2_Rg8_z0.001.out.snap0016.dat.gz 1.27 2.22 0.57
0017 330.764900516 0.10987772 n2e5_w5_r2_Rg8_z0.001.out.snap0017.dat.gz 1.02 2.17 0.47
0018 346.51171961 0.1151087 n2e5_w5_r2_Rg8_z0.001.out.snap0018.dat.gz 1.33 2.22 0.6
0019 357.349190949 0.11870883 n2e5_w5_r2_Rg8_z0.001.out.snap0019.dat.gz 1.23 2.28 0.54
0020 366.49740234 0.1217478 n2e5_w5_r2_Rg8_z0.001.out.snap0020.dat.gz 1.5 2.28 0.66
0021 381.350884806 0.12668202 n2e5_w5_r2_Rg8_z0.001.out.snap0021.dat.gz 1.37 2.23 0.61
0022 396.475504993 0.13170631 n2e5_w5_r2_Rg8_z0.001.out.snap0022.dat.gz 1.31 2.38 0.55
0023 409.955086539 0.13618413 n2e5_w5_r2_Rg8_z0.001.out.snap0023.dat.gz 1.68 2.32 0.73
0024 428.628278469 0.14238723 n2e5_w5_r2_Rg8_z0.001.out.snap0024.dat.gz 1.36 2.4 0.57
0025 452.06307263 0.1501721 n2e5_w5_r2_Rg8_z0.001.out.snap0025.dat.gz 1.34 2.38 0.56
0026 462.434489323 0.15361741 n2e5_w5_r2_Rg8_z0.001.out.snap0026.dat.gz 1.48 2.38 0.62
0027 476.104773374 0.15815858 n2e5_w5_r2_Rg8_z0.001.out.snap0027.dat.gz 1.31 2.42 0.54
0028 490.544249281 0.16295527 n2e5_w5_r2_Rg8_z0.001.out.snap0028.dat.gz 1.22 2.44 0.5
0029 505.15904506 0.1678102 n2e5_w5_r2_Rg8_z0.001.out.snap0029.dat.gz 1.2 2.5 0.48
0030 534.5871358 0.177586 n2e5_w5_r2_Rg8_z0.001.out.snap0030.dat.gz 1.75 2.61 0.67
0031 552.261480087 0.18345729 n2e5_w5_r2_Rg8_z0.001.out.snap0031.dat.gz 0.84 2.28 0.37
0032 571.489470307 0.18984469 n2e5_w5_r2_Rg8_z0.001.out.snap0032.dat.gz 1.6 2.69 0.6
0033 585.985329133 0.19466011 n2e5_w5_r2_Rg8_z0.001.out.snap0033.dat.gz 1.56 2.69 0.58
0034 597.983030298 0.19864566 n2e5_w5_r2_Rg8_z0.001.out.snap0034.dat.gz 1.61 2.71 0.59
0035 637.628470577 0.21181559 n2e5_w5_r2_Rg8_z0.001.out.snap0035.dat.gz 1.76 2.75 0.64
0036 660.031785443 0.21925781 n2e5_w5_r2_Rg8_z0.001.out.snap0036.dat.gz 1.77 2.83 0.62
0037 681.67882264 0.2264488 n2e5_w5_r2_Rg8_z0.001.out.snap0037.dat.gz 1.83 2.82 0.65
0038 709.556458365 0.23570955 n2e5_w5_r2_Rg8_z0.001.out.snap0038.dat.gz 1.87 2.84 0.66
