#snapno  time[Myr] time[FP]
0000 0.0 0.0
0001 100.930027759 0.033528229
0002 107.832230237 0.035821091
0003 120.554113253 0.040047209
0004 131.798486843 0.043782509
0005 138.701619504 0.04607568
0006 153.585638453 0.051020044
0007 168.715632026 0.056046119
0008 177.464478957 0.058952423
0009 199.108171711 0.066142302
0010 216.300922183 0.07185361
0011 223.791243962 0.074341841
0012 234.485268486 0.077894319
0013 243.016693489 0.080728397
0014 254.509744952 0.084546306
0015 264.494621063 0.08786321
0016 303.065414345 0.10067615
0017 330.764900516 0.10987772
0018 346.51171961 0.1151087
0019 357.349190949 0.11870883
0020 366.49740234 0.1217478
0021 381.350884806 0.12668202
0022 396.475504993 0.13170631
0023 409.955086539 0.13618413
0024 428.628278469 0.14238723
0025 452.06307263 0.1501721
0026 462.434489323 0.15361741
0027 476.104773374 0.15815858
0028 490.544249281 0.16295527
0029 505.15904506 0.1678102
0030 534.5871358 0.177586
0031 552.261480087 0.18345729
0032 571.489470307 0.18984469
0033 585.985329133 0.19466011
0034 597.983030298 0.19864566
0035 637.628470577 0.21181559
0036 660.031785443 0.21925781
0037 681.67882264 0.2264488
0038 709.556458365 0.23570955
0039 743.416433177 0.24695759
0040 752.627740456 0.25001752
0041 786.884773838 0.26139746
0042 804.281959804 0.26717668
0043 829.05407974 0.2754058
0044 872.728866775 0.28991425
0045 891.646765992 0.29619864
0046 936.92306273 0.3112391
0047 968.409265477 0.32169859
0048 987.487312654 0.32803618
0049 1007.67513703 0.33474243
0050 1030.71239097 0.34239524
0051 1043.2796409 0.34656999
0052 1078.73128173 0.35834677
0053 1107.96535864 0.36805812
0054 1141.36599177 0.37915357
0055 1170.6123808 0.38886901
0056 1240.2335155 0.41199665
0057 1275.50839151 0.42371471
0058 1301.134955 0.43222767
0059 1329.700655 0.44171699
0060 1401.00716635 0.4654045
0061 1441.65858868 0.47890861
0062 1478.81508282 0.49125173
0063 1505.18215 0.50001068
0064 1517.68061457 0.50416258
0065 1546.19420628 0.51363459
0066 1565.50022347 0.52004791
0067 1604.7758785 0.533095
0068 1672.88731764 0.55572113
0069 1715.12074293 0.56975077
0070 1766.27711887 0.58674455
0071 1815.36689375 0.60305182
0072 1861.31180822 0.61831439
0073 1945.16678522 0.64617041
0074 1985.69069125 0.65963216
0075 2055.29219878 0.68275328
0076 2110.88015776 0.7012192
0077 2214.07826896 0.73550087
0078 2257.7801487 0.75001832
0079 2261.15701293 0.75114009
0080 2298.15441271 0.76343036
0081 2329.31514182 0.77378173
0082 2379.49386262 0.79045074
0083 2407.36409301 0.79970903
0084 2484.56486207 0.82535457
0085 2519.58603001 0.83698835
0086 2663.78785895 0.88489116
0087 2746.56322196 0.91238854
0088 2820.16448501 0.93683835
0089 2872.02214043 0.95406509
0090 2947.52555183 0.97914678
0091 3010.31264326 1.0000042
0092 3067.36685916 1.0189572
0093 3143.90283357 1.0443819
