#1:model #2:rc #3:rh #4:rc/rh [all units parsec]
r1_n2e5_w2_r2_Rg20_z0.0005 3.46 6.02 0.57
r2_n2e5_w2_r2_Rg8_z0.001 3.17 5.67 0.56
r3_n2e5_w2_r2_Rg2_z0.005 1.32 2.25 0.59
r4_n2e5_w5_r2_Rg20_z0.0005 3.73 6.24 0.6
r5_n2e5_w5_r2_Rg8_z0.001 3.52 6.27 0.56
r6_n2e5_w5_r2_Rg2_z0.005 2.68 3.82 0.7
r7_n2e5_w7_r2_Rg20_z0.0005 3.99 6.85 0.58
r8_n2e5_w7_r2_Rg8_z0.001 3.62 6.41 0.57
r9_n2e5_w7_r2_Rg2_z0.005 3.29 3.82 0.86
r10_n8e5_w2_r2_Rg20_z0.0005 2.79 4.32 0.65
r11_n8e5_w2_r2_Rg8_z0.001 2.85 4.31 0.66
r12_n8e5_w2_r2_Rg2_z0.005 3.08 4.86 0.63
r13_n8e5_w5_r2_Rg20_z0.0005 2.96 4.65 0.64
r14_n8e5_w5_r2_Rg8_z0.001 3.55 5.85 0.61
r15_n8e5_w5_r2_Rg2_z0.005 1.62 2.65 0.61
r16_n8e5_w7_r2_Rg20_z0.0005 2.95 4.59 0.64
r17_n8e5_w7_r2_Rg8_z0.001 1.76 3.04 0.58
r18_n8e5_w7_r2_Rg2_z0.005 1.35 2.65 0.51
